Downloads;Link;Size;Rating;Authors;Difficulty;Exits;Featured;Demo;Date;Id;Name
6272;https://dl.smwcentral.net/15710/Another%20Mario%20World%202%20-%20Luigi%27s%20Mission.zip;1150000;4.6;"[""Stiviboy""]";Normal;70;false;false;2017-07-10T18:48:28.0;15710;Another Mario World 2: Luigi's Mission
22596;https://dl.smwcentral.net/4990/SMW-%20RDL.zip;312750;4.6;"[""RAGB""]";Normal;59;true;false;2013-06-24T15:29:35.0;4990;Super Mario World: Return To Dinosaur Land
4234;https://dl.smwcentral.net/13947/VLDC1.zip;307210;4.6;"[""SMW Central""]";Normal;76;false;false;2016-08-01T20:24:00.0;13947;The 1st Annual Vanilla Level Design Contest: Collaboration Hack
2065;https://dl.smwcentral.net/14882/My%20little%20Puzzles%203%20-%20The%20Key%20to%20Eternity.zip;828070;4.5;"[""Chosentw0""]";Very Hard;64;false;false;2017-01-16T05:45:23.0;14882;My little Puzzles 3 - The Key to Eternity
2116;https://dl.smwcentral.net/5031/AStrangeMission.zip;157580;4.5;"[""WhiteYoshiEgg""]";Normal;8;true;false;2013-06-26T19:36:20.0;5031;A Strange Mission
2694;https://dl.smwcentral.net/19145/BabyKaizoWorld.zip;579840;4.5;"[""Nowieso""]";Kaizo: Light;44;false;false;2019-02-19T01:23:30.0;19145;Baby Kaizo World
1087;https://dl.smwcentral.net/5546/Cinnamon%20Hills.zip;124600;4.5;"[""AlanJacobs""]";Normal;15;false;false;2013-10-23T05:11:57.0;5546;Cinnamon Hills
831;https://dl.smwcentral.net/5572/Lunar%20Legends%2C%20The%20Search%20-%20C3%20Demo.zip;184540;4.5;"[""Aeon""]";Easy;4;false;true;2013-09-11T07:20:52.0;5572;Lunar Legends: The Search
1416;https://dl.smwcentral.net/18681/Pay%20your%20taxes%20kids.zip;111430;4.5;"[""Young Boi""]";Normal;5;false;false;2018-12-20T16:33:08.0;18681;Mario goes to a castle to pay his taxes
2485;https://dl.smwcentral.net/14712/Mario_is_Stupid.zip;177640;4.5;"[""Sokobansolver""]";Kaizo: Light;12;false;false;2016-12-18T19:05:53.0;14712;Mario is Stupid
5520;https://dl.smwcentral.net/9033/MarioMustDie.zip;252940;4.5;"[""Sokobansolver""]";Kaizo: Hard;9;false;false;2014-10-05T17:49:29.0;9033;Mario Must Die (SMWC version)
2457;https://dl.smwcentral.net/5583/Mario%27s%202%20Ways%202%20Victory.zip;272320;4.5;"[""Najeraldo""]";Hard;85;false;false;2013-06-21T05:04:43.0;5583;Mario's 2 Ways 2 Victory
890;https://dl.smwcentral.net/16765/Pit%20of%20Insaneness%202.zip;139360;4.5;"[""NBKevin98""]";Pit;1;false;false;2018-01-10T05:10:50.0;16765;Pit of Insaneness 2
1014;https://dl.smwcentral.net/18377/Super%20Dode%20World1.2.zip;281550;4.5;"[""Arobam""]";Kaizo: Light;21;false;false;2018-11-06T21:40:23.0;18377;Super Dode World
2566;https://dl.smwcentral.net/18091/SMWAgaininDinosaurLandDEMO1.zip;29450;4.5;"[""Emerald Shell""]";Normal;10;false;true;2018-09-04T22:44:26.0;18091;Super Mario World: Again in Dinosaur Land
1581;https://dl.smwcentral.net/16894/Super%20Tesla%20World%20v1.3.zip;139460;4.5;"[""MiniMawile303""]";Kaizo: Light;20;false;false;2018-01-25T01:52:34.0;16894;Super Tesla World
984;https://dl.smwcentral.net/5256/The%20Lost%20Land%202%20-%20The%204%20Switches.zip;405260;4.5;"[""Tahixham""]";Normal;6;false;false;2013-09-16T12:02:30.0;5256;The Lost Land 2: The 4 Switches
1034;https://dl.smwcentral.net/17555/The%20Search%20for%20Salmon%201.2.zip;167480;4.5;"[""GlitchCat7""]";Kaizo: Light;11;false;false;2018-06-09T20:33:18.0;17555;The Search for Salmon
2087;https://dl.smwcentral.net/10342/nsmw%20d2.zip;185870;4.5;"[""Gregor""]";Normal;15;false;true;2015-01-06T20:26:36.0;10342;Gregor's New Super Mario World
1367;https://dl.smwcentral.net/16029/SuperKazuWorld%20V1.3.zip;105450;4.5;"[""Wieus96""]";Kaizo: Light;9;false;false;2017-08-12T21:24:05.0;16029;SuperKazuWorld
1441;https://dl.smwcentral.net/11760/LM%201.0%20Adventures%20v1.1.zip;36740;4.5;"[""Carld923"", ""Gartore"", ""Maxodex"", ""Pinci"", ""StanTheMackiar"", ""VashVaati"", ""anonimzwx""]";Normal;7;false;false;2015-07-21T00:54:36.0;11760;Lunar Magic 1.0 Adventures
1055;https://dl.smwcentral.net/14930/This%20Hack%20Was%20Made%20in%202%20Hours.zip;26630;4.5;"[""ft029""]";Hard;7;false;false;2017-01-09T14:34:40.0;14930;This Hack Was Made in 2 Hours
11852;https://dl.smwcentral.net/6872/VLDC_2014.zip;1000000;4.5;"[""SMW Central""]";Normal;86;true;false;2014-07-11T18:27:55.0;6872;The 7th Annual Vanilla Level Design Contest: Collaboration Hack
1972;https://dl.smwcentral.net/14791/Phenomenal%20Mario%20World%20Demo.zip;1090000;4.4;"[""Stiviboy""]";Normal;11;false;true;2016-12-24T20:45:36.0;14791;Phenomenal Mario World
6910;https://dl.smwcentral.net/15290/CMW3%20The%20Finale.zip;1820000;4.4;"[""bandicoot""]";Hard;120;false;false;2017-03-12T22:20:35.0;15290;Classic Mario World 3: The Finale
